timestamp,class_base,x1_base,y1_base,x2_base,y2_base,class_rayo,x1_rayo,y1_rayo,x2_rayo,y2_rayo
2025-03-23_03-11-41,base,287,428,296,484,ray_from_above,281,36,320,479
2025-03-23_03-11-42,base,316,455,338,491,ray_from_above,320,34,353,495
2025-03-23_03-11-42,base,927,443,953,491,ray_from_above,793,37,843,490
2025-03-23_03-11-42,base,830,459,846,491,ray_from_above,793,37,843,490
2025-03-23_03-11-42,base,828,429,838,493,ray_from_above,793,37,843,490
2025-03-23_03-11-42,base,830,444,842,490,ray_from_above,793,37,843,490
2025-03-23_03-11-42,base,330,450,399,491,ray_from_above,357,30,398,493
2025-03-23_03-11-42,base,853,452,867,488,ray_from_above,813,35,864,490
2025-03-23_03-11-42,base,846,418,858,489,ray_from_above,813,35,864,490
2025-03-23_03-11-42,base,853,434,864,490,ray_from_above,813,35,864,490
2025-03-23_03-11-42,base,344,450,406,491,ray_from_above,367,27,413,492
2025-03-23_03-11-42,base,858,413,871,487,ray_from_above,824,36,871,487
2025-03-23_03-11-42,base,863,440,876,492,ray_from_above,824,36,871,487
2025-03-23_03-11-42,base,865,449,878,487,ray_from_above,824,36,871,487
2025-03-23_03-11-42,base,346,448,414,492,ray_from_above,374,28,417,493
2025-03-23_03-11-42,base,866,420,877,485,ray_from_above,827,35,882,489
2025-03-23_03-11-42,base,869,431,880,477,ray_from_above,827,35,882,489
2025-03-23_03-11-42,base,863,414,876,487,ray_from_above,827,35,882,489
2025-03-23_03-11-42,base,347,450,416,492,ray_from_above,374,28,419,498
2025-03-23_03-11-42,base,866,448,902,489,ray_from_above,824,37,888,487
2025-03-23_03-11-42,base,345,450,408,491,ray_from_above,369,29,413,491
2025-03-23_03-11-42,base,861,449,896,488,ray_from_above,819,35,881,491
2025-03-23_03-11-42,base,745,429,758,489,ray_from_above,651,35,761,487
2025-03-23_03-11-42,base,317,452,386,491,ray_from_above,343,36,385,497
2025-03-23_03-11-42,base,825,448,872,488,ray_from_above,796,34,854,489
2025-03-23_03-11-42,base,294,449,357,492,ray_from_above,319,35,359,491
