epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,730.024,1.70937,2.79772,1.46378,0.85177,0.37382,0.46059,0.28426,1.42512,3.30129,1.29141,0.000408163,0.000408163,0.000408163
2,1438.03,1.35983,1.64225,1.19919,0.76175,0.55155,0.62638,0.38499,1.36313,2.04098,1.19017,0.000808498,0.000808498,0.000808498
3,2146.77,1.28883,1.45582,1.15786,0.74932,0.51549,0.66148,0.41599,1.27556,1.61768,1.14118,0.00119233,0.00119233,0.00119233
4,2837.61,1.21213,1.31352,1.12301,0.66988,0.60272,0.66435,0.41279,1.22399,1.37342,1.13048,0.00117575,0.00117575,0.00117575
5,3509.28,1.15986,1.18314,1.1136,0.87481,0.64725,0.74779,0.49184,1.09941,1.02958,1.03871,0.001151,0.001151,0.001151
6,4186.21,1.08347,1.05987,1.072,0.76335,0.69691,0.73256,0.47548,1.13122,1.00666,1.0826,0.00112625,0.00112625,0.00112625
7,4874.35,1.04531,0.97938,1.06074,0.88848,0.7008,0.7836,0.52326,1.02536,0.9241,1.02388,0.0011015,0.0011015,0.0011015
8,5572.57,1.00812,0.91774,1.03314,0.93121,0.73326,0.81395,0.55279,0.96708,0.8745,0.99062,0.00107675,0.00107675,0.00107675
9,6277.64,0.98207,0.87464,1.03448,0.91293,0.77443,0.83397,0.5713,0.99392,0.82951,1.03557,0.001052,0.001052,0.001052
10,6979.55,0.96028,0.84148,1.01582,0.94692,0.7834,0.83016,0.58422,0.94189,0.71885,0.95554,0.00102725,0.00102725,0.00102725
11,7682.62,0.94807,0.79307,1.00272,0.90289,0.78724,0.83446,0.60999,0.93674,0.68352,0.96114,0.0010025,0.0010025,0.0010025
12,8390.74,0.94876,0.77659,1.00078,0.89191,0.73753,0.82129,0.5788,0.93844,0.73202,0.98145,0.00097775,0.00097775,0.00097775
13,9098.57,0.88646,0.73811,0.97931,0.89834,0.80411,0.85191,0.61145,0.91388,0.66931,0.96126,0.000953,0.000953,0.000953
14,9806.28,0.88204,0.72291,0.98859,0.94658,0.80123,0.8547,0.63777,0.85285,0.62081,0.93834,0.00092825,0.00092825,0.00092825
15,10507.7,0.87815,0.70357,0.97151,0.94523,0.77733,0.85482,0.62553,0.85151,0.60935,0.92754,0.0009035,0.0009035,0.0009035
16,11206.9,0.82258,0.66716,0.95178,0.96566,0.80918,0.86941,0.637,0.85689,0.59694,0.92918,0.00087875,0.00087875,0.00087875
17,11899.1,0.81544,0.64583,0.95609,0.92414,0.81842,0.8646,0.6446,0.82433,0.57437,0.93797,0.000854,0.000854,0.000854
18,12593.2,0.8128,0.64619,0.95418,0.96989,0.80468,0.85917,0.64445,0.843,0.58936,0.92725,0.00082925,0.00082925,0.00082925
19,13284.6,0.81607,0.62779,0.94963,0.93872,0.82769,0.86638,0.66302,0.81795,0.56883,0.92554,0.0008045,0.0008045,0.0008045
20,13979,0.78924,0.60844,0.93849,0.96336,0.81666,0.87776,0.64259,0.83109,0.57294,0.92065,0.00077975,0.00077975,0.00077975
21,14685.6,0.78657,0.60217,0.93696,0.91277,0.82991,0.86462,0.65193,0.82235,0.55311,0.90841,0.000755,0.000755,0.000755
22,15396.8,0.78822,0.60386,0.9409,0.94171,0.81349,0.87692,0.67892,0.76096,0.53371,0.8954,0.00073025,0.00073025,0.00073025
23,16103.1,0.75294,0.59363,0.92676,0.96693,0.82715,0.87228,0.66136,0.75585,0.49623,0.89772,0.0007055,0.0007055,0.0007055
24,16814.7,0.76802,0.58769,0.9276,0.91021,0.8203,0.86283,0.66778,0.794,0.51105,0.89534,0.00068075,0.00068075,0.00068075
25,17530.9,0.73681,0.55695,0.91935,0.94383,0.83906,0.88358,0.69242,0.74606,0.4815,0.876,0.000656,0.000656,0.000656
26,18240.4,0.72869,0.54323,0.917,0.92058,0.82612,0.86983,0.70113,0.72062,0.48168,0.87808,0.00063125,0.00063125,0.00063125
27,18973.9,0.72345,0.54715,0.92188,0.94086,0.83542,0.87948,0.69728,0.70898,0.48219,0.87582,0.0006065,0.0006065,0.0006065
28,19680.8,0.72168,0.54926,0.91316,0.94124,0.84621,0.87862,0.68656,0.74489,0.4829,0.87888,0.00058175,0.00058175,0.00058175
29,20392.5,0.70848,0.54403,0.91375,0.95829,0.84147,0.87966,0.70853,0.68869,0.46875,0.87434,0.000557,0.000557,0.000557
30,21097.6,0.71422,0.53358,0.91334,0.96707,0.83345,0.87533,0.71059,0.67333,0.45274,0.86817,0.00053225,0.00053225,0.00053225
31,21813.6,0.691,0.52028,0.91167,0.96621,0.84548,0.88557,0.71522,0.6848,0.43389,0.86874,0.0005075,0.0005075,0.0005075
32,22548.1,0.68005,0.50648,0.90257,0.96755,0.83528,0.88431,0.71467,0.66658,0.43046,0.85951,0.00048275,0.00048275,0.00048275
33,23266.8,0.66074,0.50645,0.90042,0.96687,0.84568,0.88472,0.71202,0.66877,0.44452,0.8575,0.000458,0.000458,0.000458
34,24007.6,0.65737,0.49862,0.90119,0.95974,0.83159,0.88231,0.71748,0.67497,0.44868,0.85771,0.00043325,0.00043325,0.00043325
35,24706,0.65722,0.48894,0.896,0.94459,0.83011,0.8873,0.7202,0.65547,0.42994,0.85742,0.0004085,0.0004085,0.0004085
36,25406.4,0.64925,0.48796,0.89385,0.95586,0.84335,0.88652,0.72832,0.635,0.40501,0.86029,0.00038375,0.00038375,0.00038375
37,26109.8,0.63646,0.48625,0.89217,0.95095,0.84466,0.88799,0.72986,0.63216,0.40996,0.85697,0.000359,0.000359,0.000359
38,26807.1,0.63381,0.4742,0.89059,0.95878,0.84304,0.88429,0.72856,0.63955,0.42457,0.85987,0.00033425,0.00033425,0.00033425
39,27522.3,0.62563,0.47081,0.89012,0.92502,0.86515,0.89169,0.73588,0.61448,0.40103,0.85216,0.0003095,0.0003095,0.0003095
40,28227.7,0.62275,0.46483,0.89105,0.94636,0.8515,0.88787,0.7374,0.61937,0.39212,0.85105,0.00028475,0.00028475,0.00028475
41,28934.9,0.58412,0.41886,0.85504,0.95518,0.84821,0.88045,0.7316,0.63635,0.42716,0.85635,0.00026,0.00026,0.00026
42,29635.3,0.55526,0.39246,0.85383,0.94285,0.85044,0.88665,0.74017,0.62844,0.41327,0.85383,0.00023525,0.00023525,0.00023525
43,30332.9,0.56986,0.39691,0.85537,0.93173,0.85045,0.88963,0.73363,0.63644,0.394,0.85551,0.0002105,0.0002105,0.0002105
44,31024.5,0.55029,0.39,0.85464,0.9417,0.85157,0.89015,0.7396,0.61848,0.39377,0.86054,0.00018575,0.00018575,0.00018575
45,31712,0.53552,0.37928,0.84895,0.93705,0.85794,0.89452,0.7531,0.58949,0.37826,0.85362,0.000161,0.000161,0.000161
46,32408.7,0.51994,0.37094,0.84702,0.95066,0.85862,0.89411,0.7546,0.58894,0.3772,0.84848,0.00013625,0.00013625,0.00013625
47,33113.6,0.51846,0.36315,0.8478,0.94987,0.86547,0.89818,0.75461,0.58665,0.37684,0.84437,0.0001115,0.0001115,0.0001115
48,33826.5,0.50172,0.35601,0.83646,0.94422,0.86091,0.89601,0.75984,0.5734,0.36339,0.8409,8.675e-05,8.675e-05,8.675e-05
49,34526.5,0.51214,0.35657,0.84096,0.94793,0.85953,0.89482,0.75794,0.57548,0.3677,0.84142,6.2e-05,6.2e-05,6.2e-05
50,35231.1,0.48983,0.35007,0.83863,0.94641,0.861,0.89568,0.75902,0.57249,0.36202,0.84107,3.725e-05,3.725e-05,3.725e-05
