epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,543.77,1.5926,3.13352,1.13953,0.00266,0.7972,0.00492,0.00201,1.31553,4.21603,1.05202,0.000648148,0.000648148,0.000648148
2,1062.2,1.4441,1.72368,1.08549,1,0.13628,0.83474,0.54336,1.34012,3.02024,1.1361,0.00128878,0.00128878,0.00128878
3,1582.19,1.38179,1.58535,1.06602,0.99177,0.84296,0.94566,0.60571,1.32239,1.95621,1.09563,0.00190301,0.00190301,0.00190301
4,2100.62,1.34651,1.25499,1.06611,0.95841,0.90909,0.95256,0.62014,1.35006,1.38425,1.09873,0.0018812,0.0018812,0.0018812
5,2617.9,1.30241,1.06387,1.02519,0.9238,0.93256,0.96863,0.64241,1.24511,1.0988,1.07842,0.0018416,0.0018416,0.0018416
6,3143.21,1.22796,0.93774,1.03012,0.96922,0.92308,0.96827,0.6597,1.14932,0.91196,1.00272,0.001802,0.001802,0.001802
7,3660.34,1.26037,0.87886,1.0107,0.98423,0.93706,0.96895,0.66102,1.17994,0.87082,1.02835,0.0017624,0.0017624,0.0017624
8,4177.32,1.1912,0.78896,0.99607,0.96469,0.96503,0.97627,0.70219,1.06272,0.75407,0.98523,0.0017228,0.0017228,0.0017228
9,4695.32,1.14339,0.74731,0.98676,0.93602,0.91608,0.97869,0.69138,1.06495,0.72661,0.98957,0.0016832,0.0016832,0.0016832
10,5212.43,1.17376,0.73,0.99946,0.98516,0.92863,0.96637,0.69088,1.06987,0.70181,0.97326,0.0016436,0.0016436,0.0016436
11,5728.47,1.18042,0.70687,0.99423,0.98558,0.95611,0.98339,0.70571,1.04405,0.64879,0.96128,0.001604,0.001604,0.001604
12,6244.4,1.14639,0.66096,0.97278,0.9928,0.96395,0.98322,0.6869,1.12706,0.64689,0.99937,0.0015644,0.0015644,0.0015644
13,6760.57,1.12846,0.67575,0.98491,1,0.97062,0.98552,0.6725,1.15827,0.61266,1.01198,0.0015248,0.0015248,0.0015248
14,7278.76,1.099,0.65539,0.96033,0.96447,0.94924,0.97416,0.71429,1.06894,0.71874,0.9832,0.0014852,0.0014852,0.0014852
15,7798.94,1.09569,0.62922,0.95667,0.99288,0.97525,0.98585,0.72669,1.03629,0.716,0.96943,0.0014456,0.0014456,0.0014456
16,8315.45,1.06072,0.59888,0.94087,0.99242,0.96503,0.98368,0.73591,1.03147,0.5623,0.954,0.001406,0.001406,0.001406
17,8834.94,1.06556,0.59427,0.95155,0.9786,0.95919,0.97828,0.73303,1.00972,0.52565,0.95916,0.0013664,0.0013664,0.0013664
18,9358.68,1.09674,0.60833,0.95873,0.97205,0.97294,0.98274,0.74318,1.0398,0.53842,0.97101,0.0013268,0.0013268,0.0013268
19,9878.23,1.05315,0.57333,0.94345,0.99285,0.97064,0.9865,0.74671,0.96892,0.52831,0.94888,0.0012872,0.0012872,0.0012872
20,10391.3,1.07351,0.5884,0.94598,0.99799,0.96503,0.98827,0.76033,0.96121,0.51504,0.95737,0.0012476,0.0012476,0.0012476
21,10899.2,1.02929,0.55747,0.9297,0.98508,0.97203,0.98467,0.75972,0.95988,0.5156,0.96275,0.001208,0.001208,0.001208
22,11409.6,1.0224,0.5436,0.94193,0.99172,0.97203,0.9895,0.7731,0.9272,0.51088,0.93745,0.0011684,0.0011684,0.0011684
23,11922.9,1.0364,0.54384,0.93468,0.96525,0.96503,0.98274,0.74357,0.99188,0.52493,0.94897,0.0011288,0.0011288,0.0011288
24,12433.2,1.03395,0.55392,0.94147,0.98542,0.94555,0.98095,0.72681,1.05902,0.55088,0.96152,0.0010892,0.0010892,0.0010892
25,12945.1,1.00343,0.54054,0.93411,0.99279,0.96264,0.97668,0.74229,0.98997,0.50541,0.96079,0.0010496,0.0010496,0.0010496
26,13454.5,1.01354,0.52424,0.94266,1,0.96486,0.98236,0.75705,1.00267,0.49485,0.95066,0.00101,0.00101,0.00101
27,13964.2,0.98967,0.52071,0.92342,0.99047,0.97902,0.99045,0.75359,0.92215,0.48039,0.93294,0.0009704,0.0009704,0.0009704
28,14473.4,0.97055,0.51192,0.9261,0.99289,0.97713,0.97964,0.76173,0.92228,0.4739,0.94837,0.0009308,0.0009308,0.0009308
29,14983,0.95538,0.50996,0.92951,0.9929,0.97795,0.98488,0.77165,0.97394,0.45778,0.9526,0.0008912,0.0008912,0.0008912
30,15494.8,0.95346,0.49476,0.91104,0.99967,0.98601,0.98702,0.76862,0.91717,0.45176,0.93295,0.0008516,0.0008516,0.0008516
31,16003.1,0.93087,0.48417,0.9177,0.99994,0.97902,0.99053,0.78575,0.93827,0.45804,0.93991,0.000812,0.000812,0.000812
32,16511.5,0.93611,0.48705,0.91145,0.98939,0.96503,0.98003,0.76097,0.92411,0.45236,0.93078,0.0007724,0.0007724,0.0007724
33,17021.7,0.90089,0.47863,0.90399,0.99215,0.97902,0.98042,0.77952,0.89975,0.42894,0.93699,0.0007328,0.0007328,0.0007328
34,17536.9,0.90853,0.4775,0.89694,0.99936,0.97902,0.98873,0.78966,0.91484,0.45646,0.92772,0.0006932,0.0006932,0.0006932
35,18046.5,0.89542,0.4677,0.90273,0.99881,0.97902,0.98921,0.78052,0.92287,0.44041,0.94053,0.0006536,0.0006536,0.0006536
36,18557,0.86038,0.4547,0.89271,1,0.98524,0.98845,0.76805,0.93764,0.42513,0.94266,0.000614,0.000614,0.000614
37,19066,0.87316,0.45936,0.90654,1,0.98564,0.98842,0.77267,0.91693,0.42526,0.94242,0.0005744,0.0005744,0.0005744
38,19575.5,0.87388,0.43954,0.88745,0.98585,0.9747,0.98352,0.78482,0.90239,0.42411,0.94592,0.0005348,0.0005348,0.0005348
39,20081.1,0.88243,0.44681,0.89256,0.99221,0.98601,0.98893,0.78172,0.91543,0.42866,0.94508,0.0004952,0.0004952,0.0004952
40,20588.5,0.86053,0.43763,0.88838,1,0.98496,0.98954,0.7889,0.88261,0.404,0.93452,0.0004556,0.0004556,0.0004556
41,21091.5,0.82538,0.42279,0.90142,1,0.98523,0.99057,0.79467,0.88566,0.41619,0.92687,0.000416,0.000416,0.000416
42,21596.5,0.79549,0.40198,0.89468,0.99143,0.97902,0.98207,0.79681,0.87579,0.40666,0.92924,0.0003764,0.0003764,0.0003764
43,22099.1,0.80495,0.40249,0.90151,0.99155,0.97902,0.98448,0.79269,0.88043,0.40313,0.92292,0.0003368,0.0003368,0.0003368
44,22604.5,0.77751,0.38498,0.89525,0.9923,0.97902,0.98466,0.79967,0.86765,0.39419,0.93135,0.0002972,0.0002972,0.0002972
